month,total_qty,total_revenue
2020-11,2228,359896117
2020-12,2575,406523368
2021-01,3652,575072044
2021-02,617,90812189
2021-03,3742,392828800
2021-04,4880,981040120
2021-05,5306,1076790503
2021-06,6545,1157487412
2021-07,2535,549439065
2021-08,3338,586704848
2021-09,4131,779177822
2021-10,6338,929638229
2021-11,18560,3380878644
2021-12,13153,2259783494
2022-01,60277,16849054042
2022-02,64285,15044291499
2022-03,74683,19167875917
2022-04,59993,16782658340
2022-05,57983,18280496882
2022-06,63541,17849521907
2022-07,48067,15478617268
2022-08,54785,17689473054
2022-09,56489,17854767016
2022-10,59856,17273948418
2022-11,50773,16013026959
2022-12,63366,19619682892
2023-01,45125,13300566064
2023-02,66192,18603252324
2023-03,60900,17423203425
2023-04,47484,13703724069
2023-05,60734,17774650487
2023-06,52841,16356211266
2023-07,58307,17188404654
2023-08,64376,17408339753
2023-09,44927,13015739729
2023-10,60441,17018423793
2023-11,55433,16151473894
2023-12,55493,16182613010
2024-01,68267,17211527863
2024-02,41900,10978621485
2024-03,65905,20379814230
2024-04,68694,17157043056
2024-05,56145,17187713061
2024-06,50364,14307815866
2024-07,53475,14922872624
2024-08,57820,16066902767
2024-09,45894,13587890200
2024-10,71795,17798081717
2024-11,59482,17875793760
2024-12,56149,18030671756
2025-01,40470,12690452098
2025-02,45508,13959417271
2025-03,58578,17307560784
2025-04,46860,14235511707
2025-05,51648,15992094317
2025-06,37553,12755088126
2025-07,47565,14838810497
2025-08,40409,13347599097
2025-09,5659,1688964257
