ItemCode,revenue,cost,profit,profit_weight,total_sales_qty,sale_days_total,last_sale_date,total_return_qty,sale_days_180,sale_days_365,avg_daily_sales_180,net_qty,days_since_last_sale,return_ratio,profit_percentile,forecast_28d_validation,forecast_28d_evaluation,forecast_56d_total,avg_forecast_per_day,model_disagreement,disagreement_v6_v2_56d,profit_segment,demand_class,return_heavy,assumed_current_stock,forecast_during_lead_time,safety_stock_demand,projected_stock_after_lead_time,stockout_flag,reorder_qty,overstock_flag,reliability_tag,risk_level,recommended_action,priority_level,reason_codes
SKU-08063,591459500,585080316.0,6379184.0,6379184.0,4311.0,110,2025-05-23,25.0,7,14,0.3277777777777778,4286.0,105,0.005799118533982834,0.7831204608064112,0.0,0.0,0.0,0.0,0.0,0.03060094659412161,Medium Profit,Frequent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Normal,Monitor closely,P2 — Monitor Closely,Last sale was 105 days ago | Frequent recent sales | Stable model agreement
SKU-09458,10081348060,7412941433.0,2668406627.0,2668406627.0,62430.0,82,2024-04-24,3.0,0,0,0.0,62427.0,499,4.805382027871216e-05,0.9998747808665164,0.0,0.0,0.0,0.0,0.0,0.01784117756041969,High Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Manual review required,P1 — Urgent Review,Dormant SKU — no sale in last 180 days | Last sale was 499 days ago | High profit SKU: top 10%
SKU-08062,26396546,25658250.0,738296.0,738296.0,224.0,20,2025-05-23,0.0,1,2,0.044444444444444446,224.0,105,0.0,0.44446531430002506,0.0,0.0,0.0,0.0,0.0,0.005659955154515707,Low Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 105 days ago | Only 1 sale days in last 180 days | Stable model agreement
SKU-07688,167526537,198558918.0,-31032381.0,0.0,2880.0,35,2025-05-16,0.0,2,4,5.2555555555555555,2880.0,112,0.0,0.0574129727022289,0.0,0.0,0.0,0.0,0.0,0.0,Low Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 112 days ago | Only 2 sale days in last 180 days | Stable model agreement
SKU-07690,36443181,23940000.0,12503181.0,12503181.0,95.0,17,2022-02-17,0.0,0,0,0.0,95.0,1296,0.0,0.8684573002754821,0.0,0.0,0.0,0.0,0.0,0.0,Medium Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Monitor closely,P4 — Low Priority,Dormant SKU — no sale in last 180 days | Last sale was 1296 days ago
SKU-07675,24241273,18115433.0,6125840.0,6125840.0,262.0,16,2025-05-15,0.0,1,1,0.03888888888888889,262.0,113,0.0,0.7776734284998748,0.0,0.0,0.0,0.0,0.0,0.0,Medium Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 113 days ago | Only 1 sale days in last 180 days | Stable model agreement
SKU-07691,791597284,642238562.0,149358722.0,149358722.0,2763.0,106,2025-03-14,0.0,1,8,0.19444444444444445,2763.0,175,0.0,0.9897320310543452,0.0,0.0,0.0,0.0,0.0,0.0,High Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 175 days ago | Only 1 sale days in last 180 days | High profit SKU: top 10% | Stable model agreement
SKU-07689,427237251,290646000.0,136591251.0,136591251.0,1446.0,91,2023-12-29,0.0,0,0,0.0,1446.0,616,0.0,0.9887928875532181,0.0,0.0,0.0,0.0,0.0,0.0,High Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Manual review required,P1 — Urgent Review,Dormant SKU — no sale in last 180 days | Last sale was 616 days ago | High profit SKU: top 10%
SKU-07678,60137734,75193244.0,-15055510.0,0.0,1462.0,49,2024-04-04,0.0,0,0,0.0,1462.0,519,0.0,0.0574129727022289,0.0,0.0,0.0,0.0,0.0,0.0,Low Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Monitor closely,P4 — Low Priority,Dormant SKU — no sale in last 180 days | Last sale was 519 days ago
SKU-07679,29338849,21758153.0,7580696.0,7580696.0,66.0,12,2022-01-18,0.0,0,0,0.0,66.0,1326,0.0,0.8072251440020035,0.0,0.0,0.0,0.0,0.0,0.0,Medium Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Monitor closely,P4 — Low Priority,Dormant SKU — no sale in last 180 days | Last sale was 1326 days ago
SKU-03687,1171931197,979872134.0,192059063.0,192059063.0,9604.0,268,2025-09-05,31.0,15,39,4.555555555555555,9573.0,0,0.0032278217409412746,0.9927372902579514,106.706084,37.020883999999995,143.726968,2.566553,0.0,0.0,High Profit,Frequent,False,53.897613,35.931742,17.965871,17.965871,False,0.0,False,High Reliability,Low Risk,Monitor closely,P3 — Normal,High profit SKU: top 10% | Frequent recent sales | Stable model agreement
SKU-03349,1275027131,887860223.0,387166908.0,387166908.0,12789.0,195,2025-03-04,44.0,0,19,0.0,12745.0,185,0.0034404566424270856,0.9976834460305535,0.0,0.0,0.0,0.0,0.0,0.0,High Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Manual review required,P1 — Urgent Review,Dormant SKU — no sale in last 180 days | Last sale was 185 days ago | High profit SKU: top 10%
SKU-03351,855395507,607700752.0,247694755.0,247694755.0,8251.0,142,2025-09-04,24.0,5,14,4.094444444444444,8227.0,1,0.0029087383347473033,0.9948660155271726,25.835424000000007,18.431544,44.266968000000006,0.7904815714285716,0.0,0.0,High Profit,Active,False,16.600113000000004,11.066742000000001,5.533371000000001,5.5333710000000025,False,0.0,False,High Reliability,Low Risk,Monitor closely,P3 — Normal,Only 5 sale days in last 180 days | High profit SKU: top 10% | Stable model agreement
SKU-04396,167526600,167390107.0,136493.0,136493.0,3820.0,82,2025-02-06,209.0,0,1,0.0,3611.0,211,0.05471204188481675,0.2200100175306787,0.0,0.0,0.0,0.0,0.0,0.0,Low Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Monitor closely,P4 — Low Priority,Dormant SKU — no sale in last 180 days | Last sale was 211 days ago
SKU-02774,96959878,73322411.0,23637467.0,23637467.0,757.0,46,2025-05-27,30.0,3,3,0.22777777777777777,727.0,101,0.03963011889035667,0.9228024042073629,0.0,0.0,0.0,0.0,0.0,0.0,High Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 101 days ago | Only 3 sale days in last 180 days | High profit SKU: top 10% | Stable model agreement
SKU-02764,24242456,21058554.0,3183902.0,3183902.0,220.0,28,2025-05-10,11.0,1,1,0.016666666666666666,209.0,118,0.05,0.6793764087152517,0.0,0.0,0.0,0.0,0.0,0.0,Medium Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 118 days ago | Only 1 sale days in last 180 days | Stable model agreement
SKU-04394,43277317,28666522.0,14610795.0,14610795.0,628.0,27,2024-12-30,97.0,0,1,0.0,531.0,249,0.15445859872611464,0.8829201101928374,0.0,0.0,0.0,0.0,0.0,0.0,Medium Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Monitor closely,P4 — Low Priority,Dormant SKU — no sale in last 180 days | Last sale was 249 days ago
SKU-08191,939264316,636977557.0,302286759.0,302286759.0,11422.0,28,2024-11-04,0.0,0,2,0.0,11422.0,305,0.0,0.996306035562234,0.0,0.0,0.0,0.0,0.0,0.0,High Profit,Dormant,False,0.0,0.0,0.0,0.0,False,0.0,False,Low Reliability,High Risk,Manual review required,P1 — Urgent Review,Dormant SKU — no sale in last 180 days | Last sale was 305 days ago | High profit SKU: top 10%
SKU-05148,70562636,41632199.0,28930437.0,28930437.0,602.0,62,2025-04-21,0.0,1,5,0.016666666666666666,602.0,137,0.0,0.9358878036563987,0.0,0.0,0.0,0.0,0.0,0.0,High Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 137 days ago | Only 1 sale days in last 180 days | High profit SKU: top 10% | Stable model agreement
SKU-03914,47082525,25271634.0,21810891.0,21810891.0,382.0,27,2025-05-15,7.0,1,3,0.005555555555555556,375.0,113,0.01832460732984293,0.9180440771349863,0.0,0.0,0.0,0.0,0.0,0.0,High Profit,Intermittent,False,0.0,0.0,0.0,0.0,False,0.0,False,Medium Reliability,Medium Risk,Monitor closely,P2 — Monitor Closely,Last sale was 113 days ago | Only 1 sale days in last 180 days | High profit SKU: top 10% | Stable model agreement
